3	Li	6.941	0.534
4	Be	9.012182	1.85
5	B	10.811	2.37
6	C	12.0107	2.267
7	N	14.00674	0.807
8	O	15.9994	1.141
9	F	18.9984032	1.5
10	Ne	20.1797	1.204
11	Na	22.98977	0.97
12	Mg	24.305	1.74
13	Al	26.981538	2.7
14	Si	28.0855	2.3296
15	P	30.973761	1.82
16	S	32.066	2.067
17	Cl	35.4527	1.56
18	Ar	39.948	1.396
19	K	39.0983	0.89
20	Ca	40.078	1.54
21	Sc	44.95591	2.99
22	Ti	47.867	4.5
23	V	50.9415	6
24	Cr	51.9961	7.15
25	Mn	54.938049	7.3
26	Fe	55.845	7.875
27	Co	58.9332	8.86
28	Ni	58.6934	8.912
29	Cu	63.546	8.933
30	Zn	65.39	7.134
31	Ga	69.723	5.91
32	Ge	72.61	5.323
33	As	74.9216	5.776
34	Se	78.96	4.809
35	Br	79.904	3.11
36	Kr	83.8	2.418
37	Rb	85.4678	1.53
38	Sr	87.62	2.64
39	Y	88.90585	4.47
40	Zr	91.224	6.52
41	Nb	92.90638	8.57
42	Mo	95.94	10.2
43	Tc	98	11
44	Ru	101.07	12.1
45	Rh	102.9055	12.4
46	Pd	106.42	12
47	Ag	107.8682	10.501
48	Cd	112.411	8.69
49	In	114.818	7.31
50	Sn	118.71	7.287
51	Sb	121.76	6.685
52	Te	127.6	6.232
53	I	126.90447	4.93
54	Xe	131.29	2.953
55	Cs	132.90545	1.93
56	Ba	137.327	3.62
57	La	138.9055	6.15
58	Ce	140.116	8.16
59	Pr	140.90765	6.77
60	Nd	144.24	7.01
61	Pm	145	7.26
62	Sm	150.36	7.52
63	Eu	151.964	5.24
64	Gd	157.25	7.9
65	Tb	158.92534	8.23
66	Dy	162.5	8.55
67	Ho	164.93032	8.8
68	Er	167.26	9.07
69	Tm	168.93421	9.32
70	Yb	173.04	6.9
71	Lu	174.967	9.84
72	Hf	178.49	13.3
73	Ta	180.9479	16.4
74	W	183.84	19.3
75	Re	186.207	20.8
76	Os	190.23	22.5
77	Ir	192.217	22.5
78	Pt	195.078	21.46
79	Au	196.96655	19.282
80	Hg	200.59	13.5336
81	Tl	204.3833	11.8
82	Pb	207.2	11.342
83	Bi	208.98038	9.807
84	Po	210	9.917
85	At	210	9.32
86	Rn	222	9.73
87	Fr	223	1.87
88	Ra	226	5
89	Ac	227	10.07
90	Th	232.0381	11.72
91	Pa	231.03588	15.37
92	U	238.0289	18.95
